sock_write_iter,sock_read_iter,sock_recvmsg,sock_write_iter_count,sock_read_iter_count,sock_recvmsg_count,class
6,4,48,1,1,1,1
7,4,30,1,1,1,1
6,4,29,1,1,1,1
6,4,29,1,1,1,1
12,4,31,1,1,1,1
6,4,32,1,1,1,1
6,4,29,1,1,1,1
5,4,30,1,1,1,1
6,4,31,1,1,1,1
7,4,29,1,1,1,1
6,4,29,1,1,1,1
6,4,49,1,1,1,1
6,3,30,1,1,1,1
6,4,29,1,1,1,1
5,4,30,1,1,1,1
6,4,30,1,1,1,1
14,4,29,1,1,1,1
5,4,29,1,1,1,1
6,4,29,1,1,1,1
6,4,29,1,1,1,1
6,4,28,1,1,1,1
6,4,29,1,1,1,1
6,4,29,1,1,1,1
6,4,29,1,1,1,1
6,4,30,1,1,1,1
6,4,29,1,1,1,1
6,4,30,1,1,1,1
7,4,36,1,1,1,1
6,4,30,1,1,1,1
6,4,29,1,1,1,1
6,4,31,1,1,1,1
6,4,29,1,1,1,1
6,4,29,1,1,1,1
6,4,28,1,1,1,1
6,4,29,1,1,1,1
6,4,28,1,1,1,1
5,3,30,1,1,1,1
11,4,29,1,1,1,1
6,5,74,1,1,1,1
6,4,29,1,1,1,1
5,3,27,1,1,1,1
6,4,28,1,1,1,1
6,4,28,1,1,1,1
6,4,29,1,1,1,1
5,3,30,1,1,1,1
5,4,26,1,1,1,1
6,4,29,1,1,1,1
6,4,29,1,1,1,1
6,3,27,1,1,1,1
6,4,30,1,1,1,1
6,4,26,1,1,1,1
6,4,30,1,1,1,1
6,4,30,1,1,1,1
5,4,29,1,1,1,1
11,4,29,1,1,1,1
11,4,29,1,1,1,1
6,4,30,1,1,1,1
6,4,29,1,1,1,1
6,4,28,1,1,1,1
5,4,29,1,1,1,1
5,4,25,1,1,1,1
6,4,28,1,1,1,1
6,4,28,1,1,1,1
6,4,29,1,1,1,1
10,4,30,1,1,1,1
6,4,30,1,1,1,1
6,4,29,1,1,1,1
6,4,29,1,1,1,1
21,3,29,1,1,1,1
6,4,29,1,1,1,1
6,4,28,1,1,1,1
6,4,30,1,1,1,1
6,3,27,1,1,1,1
6,4,26,1,1,1,1
10,4,26,1,1,1,1
6,3,27,1,1,1,1
6,3,30,1,1,1,1
6,4,26,1,1,1,1
6,4,27,1,1,1,1
6,4,29,1,1,1,1
6,4,26,1,1,1,1
6,4,29,1,1,1,1
6,4,28,1,1,1,1
6,4,36,1,1,1,1
6,4,29,1,1,1,1
4,3,35,1,1,1,1
6,4,27,1,1,1,1
5,4,29,1,1,1,1
5,4,29,1,1,1,1
6,5,28,1,1,1,1
6,4,27,1,1,1,1
